matricule,nom,prenom,filiere,niveau,groupe,email
ESI250001,BOUKHARI,Bilal,Ingénieur d'état en Informatique,1CP,1CP-G1,b.boukhari@esi-sba.dz
ESI250002,MOKHTAR,Kahina,Ingénieur d'état en Informatique,1CP,1CP-G2,k.mokhtar@esi-sba.dz
ESI250003,MOKHTAR,Samira,Ingénieur d'état en Informatique,1CP,1CP-G3,s.mokhtar@esi-sba.dz
ESI250004,KHELIFI,Omar,Ingénieur d'état en Informatique,1CP,1CP-G4,o.khelifi@esi-sba.dz
ESI250005,MEZIANE,Abdellah,Ingénieur d'état en Informatique,1CP,1CP-G5,a.meziane@esi-sba.dz
ESI250006,FEDAOUI,Mehdi,Ingénieur d'état en Informatique,1CP,1CP-G6,m.fedaoui@esi-sba.dz
ESI250007,TLEMCANI,Bilal,Ingénieur d'état en Informatique,1CP,1CP-G7,b.tlemcani@esi-sba.dz
ESI250008,NAIMI,Anis,Ingénieur d'état en Informatique,1CP,1CP-G8,a.naimi@esi-sba.dz
ESI250009,MOKHTAR,Hanane,Ingénieur d'état en Informatique,1CP,1CP-G1,h.mokhtar@esi-sba.dz
ESI250010,HAMIDOU,Amine,Ingénieur d'état en Informatique,1CP,1CP-G2,a.hamidou@esi-sba.dz
ESI250011,KHALDI,Fatima,Ingénieur d'état en Informatique,1CP,1CP-G3,f.khaldi@esi-sba.dz
ESI250012,MERABET,Sihem,Ingénieur d'état en Informatique,1CP,1CP-G4,s.merabet@esi-sba.dz
ESI250013,REZIG,Bilal,Ingénieur d'état en Informatique,1CP,1CP-G5,b.rezig@esi-sba.dz
ESI250014,SAOUDI,Mehdi,Ingénieur d'état en Informatique,1CP,1CP-G6,m.saoudi@esi-sba.dz
ESI250015,ZIANI,Hanane,Ingénieur d'état en Informatique,1CP,1CP-G7,h.ziani@esi-sba.dz
ESI250016,BOUKHARI,Rachid,Ingénieur d'état en Informatique,1CP,1CP-G8,r.boukhari@esi-sba.dz
ESI250017,BOUKHARI,Walid,Ingénieur d'état en Informatique,1CP,1CP-G1,w.boukhari@esi-sba.dz
ESI250018,BELKACEMI,Fatima,Ingénieur d'état en Informatique,1CP,1CP-G2,f.belkacemi@esi-sba.dz
ESI250019,MERABET,Adel,Ingénieur d'état en Informatique,1CP,1CP-G3,a.merabet@esi-sba.dz
ESI250020,BENALI,Romaissa,Ingénieur d'état en Informatique,1CP,1CP-G4,r.benali@esi-sba.dz
ESI240001,HADDAD,Kahina,Ingénieur d'état en Informatique,2CP,2CP-G1,k.haddad@esi-sba.dz
ESI240002,HADDAD,Wissem,Ingénieur d'état en Informatique,2CP,2CP-G2,w.haddad@esi-sba.dz
ESI240003,BOUZIDI,Sofiane,Ingénieur d'état en Informatique,2CP,2CP-G3,s.bouzidi@esi-sba.dz
ESI240004,LARBI,Omar,Ingénieur d'état en Informatique,2CP,2CP-G4,o.larbi@esi-sba.dz
ESI240005,TLEMCANI,Hanane,Ingénieur d'état en Informatique,2CP,2CP-G5,h.tlemcani@esi-sba.dz
ESI240006,SALHI,Adel,Ingénieur d'état en Informatique,2CP,2CP-G6,a.salhi@esi-sba.dz
ESI240007,FERHAT,Kahina,Ingénieur d'état en Informatique,2CP,2CP-G7,k.ferhat@esi-sba.dz
ESI240008,IBRIR,Meriem,Ingénieur d'état en Informatique,2CP,2CP-G8,m.ibrir@esi-sba.dz
ESI240009,KACI,Rania,Ingénieur d'état en Informatique,2CP,2CP-G1,r.kaci@esi-sba.dz
ESI240010,YAHIAOUI,Zakaria,Ingénieur d'état en Informatique,2CP,2CP-G2,z.yahiaoui@esi-sba.dz
ESI240011,GUESSOUM,Yasmine,Ingénieur d'état en Informatique,2CP,2CP-G3,y.guessoum@esi-sba.dz
ESI240012,DERBALI,Tarek,Ingénieur d'état en Informatique,2CP,2CP-G4,t.derbali@esi-sba.dz
ESI240013,NAIMI,Samira,Ingénieur d'état en Informatique,2CP,2CP-G5,s.naimi@esi-sba.dz
ESI240014,FEDAOUI,Amine,Ingénieur d'état en Informatique,2CP,2CP-G6,a.fedaoui@esi-sba.dz
ESI240015,MOKHTAR,Mehdi,Ingénieur d'état en Informatique,2CP,2CP-G7,m.mokhtar@esi-sba.dz
ESI240016,DAHMANI,Amira,Ingénieur d'état en Informatique,2CP,2CP-G8,a.dahmani@esi-sba.dz
ESI240017,MADANI,Amine,Ingénieur d'état en Informatique,2CP,2CP-G1,a.madani@esi-sba.dz
ESI240018,NACER,Chaima,Ingénieur d'état en Informatique,2CP,2CP-G2,c.nacer@esi-sba.dz
